Nombre;Hora;MomentoInt;Tokens;TokensFinal;Cost
eda01;13:58:58;65;225;225;0
eda02;13:53:14;59;225;225;0
eda03;13:39:24;46;201;201;0
eda04;14:08:16;74;177;177;0
edb01;20:23:30;146;368;368;1
iua-10 ;12:10:31;79;271;271;0
iua-12 ;11:59:06;66;240;240;0
iua-2  ;11:45:14;54;272;272;1
iua-3  ;11:39:31;48;252;252;0
iua-4  ;11:34:26;44;270;270;1
iua-5  ;11:36:34;46;309;309;1
iua-6  ;11:47:37;57;223;223;0
iua-9  ;11:41:21;50;209;209;0
iub-2;11:58:37;69;386;386;1
iub-4;11:23:52;35;211;211;1
iub-5;11:45:08;56;172;172;0
iub-6;11:14:50;26;123;123;0
iub-7;11:33:02;44;112;112;0
mtpg1a-01;13:48:17;63;192;192;1
mtpg1a-02;13:45:36;59;139;141;1
mtpg1a-02;13:47:29;61;141;141;1
mtpg1b-01;13:02:05;15;122;124;1
mtpg1b-01;13:03:25;16;122;124;1
mtpg1b-01;13:05:49;19;122;124;1
mtpg1b-01;13:16:29;29;124;124;1
mtpg1b-02;13:17:56;36;129;129;1
mtpg1b-02;13:19:52;38;129;129;1
mtpg1b-03;13:20:09;33;108;110;1
mtpg1b-03;13:25:05;38;110;110;1
mtpg1b-04;13:15:41;31;133;129;1
mtpg1b-04;13:26:50;42;129;129;1
mtpg1c-01;13:57:24;18;190;192;1
mtpg1c-01;14:06:40;27;192;192;1
mtpg1c-02;14:19:04;40;153;154;1
mtpg1c-02;14:23:35;45;154;154;1
mtpg1c-03;14:02:44;24;140;152;1
mtpg1c-03;14:19:48;41;152;152;1
mtpg1c-04;14:07:37;28;129;136;1
mtpg1c-04;14:25:58;47;136;136;1
mtpg2a-01;12:10:02;60;141;141;1
mtpg2a-03;11:46:36;35;161;158;1
mtpg2a-03;12:13:46;62;158;158;1
mtpg2a-04;11:29:26;15;109;158;1
mtpg2a-04;12:09:34;56;158;158;1
mtpg2a-05;11:50:43;39;118;118;0
mtpg2b-01;11:32:29;18;123;136;1
mtpg2b-01;11:52:30;38;138;136;1
mtpg2b-01;11:57:58;43;136;136;1
mtpg2b-02;12:04:57;51;135;135;1
mtpg2b-04;11:52:03;37;106;106;1
mtpg2b-04;11:53:53;39;106;106;1
mtpg2b-05;12:03:38;48;82;82;0
mtpg2b-06;11:55:09;40;156;156;1
mtpg2c-01;12:25:03;81;147;147;1
mtpg2c-01;12:31:09;87;147;147;1
mtpg2c-02;13:00:28;109;150;150;0
mtpg2c-04;11:56:54;46;160;160;1
mtpg2c-04;12:21:24;70;160;160;1
mtpg2c-05;12:40:37;84;151;153;1
mtpg2c-05;12:49:53;94;153;153;1
mtpg2c-05;12:55:13;99;158;158;1
mtpg2c-06;12:39:14;88;178;178;0
mtpg3a-02;10:36:02;47;138;138;1
mtpg3a-03;10:37:33;49;167;167;1
mtpg3a-04;10:11:22;22;54;27;1
mtpg3a-04;10:24:44;35;62;27;1
mtpg3a-04;10:32:09;43;27;27;1
mtpg3b-01;9:57:36;19;119;121;1
mtpg3b-01;10:04:49;27;121;121;1
mtpg3b-02;10:16:06;38;141;141;1
mtpg3b-03;10:15:48;37;129;129;1
mtpg3b-04;10:02:15;23;92;129;1
mtpg3b-04;10:11:45;33;129;129;1
mtpg3c-01;10:30:16;4;215;145;1
mtpg3c-01;10:42:39;17;145;145;1
mtpg3c-02;10:49:21;23;162;163;0
mtpg3c-03;10:35:18;9;163;163;1
mtpg3c-03;10:42:40;17;160;160;1
mtpg3c-04;10:47:22;22;173;173;0
mtpg4a-01;19:05:42;71;155;155;1
mtpg4a-01;19:07:11;72;155;155;1
mtpg4a-02;19:00:09;65;106;106;0
mtpg4a-03;19:02:04;68;92;92;0
mtpg4a-04;18:59:20;66;86;86;0
mtpg4a-05;18:32:36;39;156;156;1
mtpg4a-05;18:38:23;45;156;156;1
mtpg4a-05;18:51:48;58;156;156;1
mtpg4a-06;18:57:48;64;69;69;0
mtpg4b-01;18:31:37;50;50;50;1
mtpg4b-01;18:33:15;51;50;50;1
mtpg4b-02;18:30:54;52;137;137;1
mtpg4b-03;18:29:28;48;142;142;1
mtpg4b-03;18:31:29;50;142;142;1
mtpg4b-04;18:13:06;22;120;120;1
mtpg4b-04;18:30:23;39;122;122;1
mtpg4b-05;18:31:05;37;97;97;1
mtpg4b-06;18:30:38;51;86;86;1
mtpg4c-01;19:03:02;83;144;144;1
mtpg4c-01;19:26:17;106;144;144;1
mtpg4c-02;19:08:04;79;140;140;1
mtpg4c-02;19:23:37;94;146;146;1
mtpg4c-03;19:18:57;96;201;203;1
mtpg4c-03;19:19:38;96;203;203;1
mtpg4c-03;19:25:01;102;203;203;1
mtpg4c-04;19:06:38;88;145;145;0
mtpg4c-05;18:52:42;73;140;128;1
mtpg4c-05;19:16:40;97;128;128;1
mtpg4c-05;19:20:11;100;128;128;1
mtpg4c-06;19:22:43;34;133;133;0
sca-01;12:25:03;63;276;276;0
sca-02;12:25:41;63;248;248;0
sca-03;12:25:53;64;752;752;0
sca-04;12:25:54;64;379;379;0
sca-05;12:27:14;65;724;724;0
sca-06;12:25:30;63;281;281;0
sca-07;12:25:43;64;382;382;0
sca-08;12:25:48;63;245;245;0
sca-09;11:40:23;18;1005;1437;1
sca-09;12:25:37;64;1437;1437;1
sca-10;12:24:16;62;760;760;1
scb-01;11:17:03;20;155;321;0
scb-01;12:22:14;85;321;321;0
scb-02;12:21:24;84;541;541;0
scb-03;12:24:04;87;1008;1008;1
scb-04;12:22:14;85;415;415;0
scb-05;12:22:34;86;699;699;1
scb-06;12:23:12;86;616;616;0
scb-07;12:22:15;85;370;370;0
scb-08;11:11:32;14;97;378;0
scb-08;12:16:03;79;378;378;0
scb-09;12:05:42;69;1318;1318;1
scb-10;12:21:54;85;1359;1359;1
scc-01;12:14:47;73;731;731;1
scc-01;12:24:56;83;731;731;1
scc-02;11:12:55;11;292;501;1
scc-02;11:52:16;51;388;501;1
scc-02;12:24:00;82;501;501;1
scc-03;12:25:42;84;715;715;0
scc-04;11:43:50;42;447;630;1
scc-04;12:30:04;89;630;630;1
scc-05;12:26:25;85;692;692;0
scc-07;12:25:10;83;636;636;0
scc-08;12:25:32;84;555;555;0
scc-09;12:28:25;87;1504;1504;1
scc-10;11:11:39;10;484;665;1
scc-10;12:28:45;87;665;665;1
